"slot","angle","new_filename","original_source_path","source_step","SHA-256 source","SHA-256 copied file","byte-identical","current_status","notes"
"00","90.00","00_090.00_up.png","Docs/AE86Production32Fix/Step1D_LocalFlipRecovery/PNG/slot_00_90.00_step1d.png","Step1D_LocalFlipRecovery","4B30CDFC83F440EA375206FE04785479181C60FBACAAC55944194BFDA57D8A36","4B30CDFC83F440EA375206FE04785479181C60FBACAAC55944194BFDA57D8A36","True","ANCHOR","Up anchor"
"01","78.75","01_078.75.png","Docs/AE86Production32Fix/Step1D_LocalFlipRecovery/PNG/slot_01_78.75_step1d.png","Step1D_LocalFlipRecovery","150D8FCB7FD429E7F52230B7385162E9E7EC764CF1D0B771706179A4870C8E2B","150D8FCB7FD429E7F52230B7385162E9E7EC764CF1D0B771706179A4870C8E2B","True","APPROVED_FOR_TEST","Retained test source"
"02","67.50","02_067.50.png","Docs/AE86Production32Fix/Step1D_LocalFlipRecovery/PNG/slot_02_67.50_step1d.png","Step1D_LocalFlipRecovery","9D3CDF40D42CA23DAD0B1C2DFC51F9D53B2346F21810DE30DFBD7C220AA5247A","9D3CDF40D42CA23DAD0B1C2DFC51F9D53B2346F21810DE30DFBD7C220AA5247A","True","APPROVED_FOR_TEST","Retained test source"
"03","56.25","03_056.25.png","Docs/AE86Production32Fix/Step1D_LocalFlipRecovery/PNG/slot_03_56.25_step1d.png","Step1D_LocalFlipRecovery","1D81A5F476ADFB4A950F74336AD9232FA509D79579761ED5C8B530B555D6A319","1D81A5F476ADFB4A950F74336AD9232FA509D79579761ED5C8B530B555D6A319","True","APPROVED_FOR_TEST","Retained test source"
"04","45.00","04_045.00_upright.png","Docs/AE86Production32Fix/Step1D_LocalFlipRecovery/PNG/slot_04_45.00_step1d.png","Step1D_LocalFlipRecovery","86000817DABA1FB1278771F901528BAC5D529014F9203CA76F06DD443A4896F3","86000817DABA1FB1278771F901528BAC5D529014F9203CA76F06DD443A4896F3","True","ANCHOR","UpRight anchor"
"05","33.75","05_033.75.png","Docs/AE86Production32Fix/Step1D_LocalFlipRecovery/PNG/slot_05_33.75_step1d.png","Step1D_LocalFlipRecovery","E5DAA5FB84EAACCB0F85C83BE8DA79956EAA64B38820577F7B4CB56C2DEA9453","E5DAA5FB84EAACCB0F85C83BE8DA79956EAA64B38820577F7B4CB56C2DEA9453","True","APPROVED_FOR_TEST","Retained test source"
"06","22.50","06_022.50.png","Docs/AE86Production32Fix/Step1F_IdentityRedraw/PNG/slot_06_22.50_step1f.png","Step1F_IdentityRedraw","8D81B142C7E4153B5773BC6FAB3FE31B74064CE3947364EF1A7D6A4FF22C2A26","8D81B142C7E4153B5773BC6FAB3FE31B74064CE3947364EF1A7D6A4FF22C2A26","True","APPROVED_FOR_TEST","Step 1F identity redraw selected for testing"
"07","11.25","07_011.25_WORKING.png","Docs/AE86Production32Fix/Step1D_LocalFlipRecovery/PNG/slot_07_11.25_step1d.png","Step1D_LocalFlipRecovery","E4B409FDBE2CCD25A38FB1AC94FD81307A48B6B228D0FD64AF0DF0F9A0F871CF","E4B409FDBE2CCD25A38FB1AC94FD81307A48B6B228D0FD64AF0DF0F9A0F871CF","True","WORKING_SLOT07","WORKING; NOT_FINAL; NEEDS_MANUAL_PIXEL_ART"
"08","0.00","08_000.00_right.png","Docs/AE86Production32Fix/Step1D_LocalFlipRecovery/PNG/slot_08_0.00_step1d.png","Step1D_LocalFlipRecovery","40BC8F9C5858F820D51409EFBF3B27D3BA7FFA2FB47A31AA9598E6D980459AF4","40BC8F9C5858F820D51409EFBF3B27D3BA7FFA2FB47A31AA9598E6D980459AF4","True","ANCHOR","Right anchor"
"09","348.75","09_348.75.png","Docs/AE86Production32Fix/Step1F_IdentityRedraw/PNG/slot_09_348.75_step1f.png","Step1F_IdentityRedraw","C43256A2C42DF445181E92514D7A70C4048B2B01BED8D03267A34FEFA526E058","C43256A2C42DF445181E92514D7A70C4048B2B01BED8D03267A34FEFA526E058","True","APPROVED_FOR_TEST","Step 1F identity redraw selected for testing"
