kind,asset_path,active_import_reference,guid,width,height,png_color_type_rgba6,texture_186x186,sprite_non_null,settings_match,guid_unique,guid_not_active,settings,status
"CURRENT17","Assets/Art/Vehicles/AE86_final/Current17/00_090.00_up.png","Assets/Art/Vehicles/AE86/Body/Extracted/Production32/ae86_090_00_up.png","2cf6ba6491688ea42b07ec503c90b1d5","186","186","PASS","PASS","PASS","PASS","PASS","PASS","type=Sprite;mode=Single;ppu=100;mesh=FullRect;pivot=0.5/0.5;filter=Point;compression=Uncompressed;max=2048;mips=False;alpha=True;wrap=Clamp;srgb=True;npot=None;readable=False","PASS"
"CURRENT17","Assets/Art/Vehicles/AE86_final/Current17/01_078.75.png","Assets/Art/Vehicles/AE86/Body/Extracted/Production32/ae86_078_75.png","324cc02730e15934f8b72e22d67bbf04","186","186","PASS","PASS","PASS","PASS","PASS","PASS","type=Sprite;mode=Single;ppu=100;mesh=FullRect;pivot=0.5/0.5;filter=Point;compression=Uncompressed;max=2048;mips=False;alpha=True;wrap=Clamp;srgb=True;npot=None;readable=False","PASS"
"CURRENT17","Assets/Art/Vehicles/AE86_final/Current17/02_067.50.png","Assets/Art/Vehicles/AE86/Body/Extracted/Production32/ae86_067_50.png","b111cb0cdd914fb499cd316db3a56ac2","186","186","PASS","PASS","PASS","PASS","PASS","PASS","type=Sprite;mode=Single;ppu=100;mesh=FullRect;pivot=0.5/0.5;filter=Point;compression=Uncompressed;max=2048;mips=False;alpha=True;wrap=Clamp;srgb=True;npot=None;readable=False","PASS"
"CURRENT17","Assets/Art/Vehicles/AE86_final/Current17/03_056.25.png","Assets/Art/Vehicles/AE86/Body/Extracted/Production32/ae86_056_25.png","201e1ca7c3a30c848be1c1792fad9d1d","186","186","PASS","PASS","PASS","PASS","PASS","PASS","type=Sprite;mode=Single;ppu=100;mesh=FullRect;pivot=0.5/0.5;filter=Point;compression=Uncompressed;max=2048;mips=False;alpha=True;wrap=Clamp;srgb=True;npot=None;readable=False","PASS"
"CURRENT17","Assets/Art/Vehicles/AE86_final/Current17/04_045.00_upright.png","Assets/Art/Vehicles/AE86/Body/Extracted/Production32/ae86_045_00_upright.png","c1d666340d26d7f438abb2a343abb6be","186","186","PASS","PASS","PASS","PASS","PASS","PASS","type=Sprite;mode=Single;ppu=100;mesh=FullRect;pivot=0.5/0.5;filter=Point;compression=Uncompressed;max=2048;mips=False;alpha=True;wrap=Clamp;srgb=True;npot=None;readable=False","PASS"
"CURRENT17","Assets/Art/Vehicles/AE86_final/Current17/05_033.75.png","Assets/Art/Vehicles/AE86/Body/Extracted/Production32/ae86_033_75.png","01006d7edd65f0242860f2fcb73bc72d","186","186","PASS","PASS","PASS","PASS","PASS","PASS","type=Sprite;mode=Single;ppu=100;mesh=FullRect;pivot=0.5/0.5;filter=Point;compression=Uncompressed;max=2048;mips=False;alpha=True;wrap=Clamp;srgb=True;npot=None;readable=False","PASS"
"CURRENT17","Assets/Art/Vehicles/AE86_final/Current17/06_022.50.png","Assets/Art/Vehicles/AE86/Body/Extracted/Production32/ae86_022_50.png","a601a8874b1f5bb438a0d6192652dd5c","186","186","PASS","PASS","PASS","PASS","PASS","PASS","type=Sprite;mode=Single;ppu=100;mesh=FullRect;pivot=0.5/0.5;filter=Point;compression=Uncompressed;max=2048;mips=False;alpha=True;wrap=Clamp;srgb=True;npot=None;readable=False","PASS"
"CURRENT17","Assets/Art/Vehicles/AE86_final/Current17/07_011.25_WORKING.png","Assets/Art/Vehicles/AE86/Body/Extracted/Production32/ae86_011_25.png","acf4335321c3a85438aa221a7bed76e6","186","186","PASS","PASS","PASS","PASS","PASS","PASS","type=Sprite;mode=Single;ppu=100;mesh=FullRect;pivot=0.5/0.5;filter=Point;compression=Uncompressed;max=2048;mips=False;alpha=True;wrap=Clamp;srgb=True;npot=None;readable=False","PASS"
"CURRENT17","Assets/Art/Vehicles/AE86_final/Current17/08_000.00_right.png","Assets/Art/Vehicles/AE86/Body/Extracted/Production32/ae86_000_00_right.png","8254b8dd3b29f0c4e854a24689fb871d","186","186","PASS","PASS","PASS","PASS","PASS","PASS","type=Sprite;mode=Single;ppu=100;mesh=FullRect;pivot=0.5/0.5;filter=Point;compression=Uncompressed;max=2048;mips=False;alpha=True;wrap=Clamp;srgb=True;npot=None;readable=False","PASS"
"CURRENT17","Assets/Art/Vehicles/AE86_final/Current17/09_348.75.png","Assets/Art/Vehicles/AE86/Body/Extracted/Production32/ae86_348_75.png","bce1d1e9851fcdb45b8cdcc7b2a53cee","186","186","PASS","PASS","PASS","PASS","PASS","PASS","type=Sprite;mode=Single;ppu=100;mesh=FullRect;pivot=0.5/0.5;filter=Point;compression=Uncompressed;max=2048;mips=False;alpha=True;wrap=Clamp;srgb=True;npot=None;readable=False","PASS"
